"";"clave";"cod_municipio";"municipio";"anio";"fecha";"mes";"dia_semana";"rango_hora";"edad";"sexo";"escolaridad";"estado_civil";"mecanismo_causal";"agresor";"circunstancia";"deficit_cuantitativo";"deficit_cualitativo";"deficit_habitacional";"valor_agregado_2019";"valor_agregado_2020";"total_hombres";"total_mujeres";"total_poblacion";"porcentaje_pobl_hombres";"porcentaje_pobl_mujeres";"energia_electrica";"internet";"pobreza_multi_2018";"analfabetismo";"bajo_logro_educativo";"trabajo_informal"
"51";"08001:2019";"08001";"barranquilla";"2019";"2019-01-26";"1";"6";"3";"23.000";"hombre";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"52";"08001:2019";"08001";"barranquilla";"2019";"2019-01-17";"1";"4";"4";"23.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"53";"08001:2019";"08001";"barranquilla";"2019";"2019-01-27";"1";"7";"4";"26.000";"hombre";"2";"1";"proyectil de arma de fuego";"conocido sin ningun trato";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"54";"08573:2019";"08573";"puerto colombia";"2019";"2019-01-29";"1";"2";"1";"30.000";"mujer";"2";"1";"proyectil de arma de fuego";"conocido sin ningun trato";"rina";" 7.31";"29.81";"37.11";" 1.3921859";" 1.3072341";" 34490";" 26519";"  51695";"48.70103";"51.29897";"0.9878822";"0.595";"14.4";" 5.2";"23.4";"80.7"
"55";"08001:2019";"08001";"barranquilla";"2019";"2019-01-28";"1";"1";"4";"44.000";"hombre";NA;"2";"corto punzante";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"56";"08001:2019";"08001";"barranquilla";"2019";"2019-01-30";"1";"3";"1";"37.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"57";"08758:2019";"08758";"soledad";"2019";"2019-01-28";"1";"1";"3";"51.000";"hombre";"2";"1";"contundente";"agresor desconocido";"rina";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"58";"08758:2019";"08758";"soledad";"2019";"2019-02-02";"2";"6";"1";"53.000";"hombre";NA;"1";"corto punzante";"agresor desconocido";"delincuencia_comun";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"59";"08001:2019";"08001";"barranquilla";"2019";"2019-02-02";"2";"6";"1";"74.000";"hombre";"3";"1";"corto punzante";"empleado (a)";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"60";"08001:2019";"08001";"barranquilla";"2019";"2019-02-02";"2";"6";"1";"41.000";"mujer";"3";"1";"corto punzante";"empleado (a)";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"61";"08001:2019";"08001";"barranquilla";"2019";"2019-02-02";"2";"6";"1";"43.000";"mujer";"3";"2";"corto punzante";"empleado (a)";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
